Samples,Class,1-(1-enyl-oleoyl)-GPE (P-18:1),1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4),1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4),1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2),1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2),1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1),1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1),1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1),1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0),1-(1-enyl-palmitoyl)-GPC (P-16:0),1-(1-enyl-palmitoyl)-GPE (P-16:0),1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4),1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2),1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),1_2-dilinoleoyl-GPC (18:2/18:2),1_2-dioleoyl-GPC (18:1/18:1),1_2-dipalmitoyl-GPC (16:0/16:0),1_2-distearoyl-GPC (18:0/18:0),13-HOTrE,1-arachidonoyl-GPC (20:4n6),1-arachidonoyl-GPE (20:4n6),1-lignoceroyl-GPC (24:0),1-linolenoyl-GPC (18:3),1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6),1-linoleoyl-2-linolenoyl-GPC (18:2/18:3),1-linoleoyl-GPC (18:2),1-linoleoyl-GPE (18:2),1-oleoyl-2-linoleoyl-glycerol (18:1/18:2),1-oleoyl-2-linoleoyl-GPC (18:1/18:2),1-oleoyl-2-linoleoyl-GPE (18:1/18:2),1-oleoyl-3-linoleoyl-glycerol (18:1/18:2),1-oleoyl-GPC (18:1),1-oleoyl-GPE (18:1),1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3),1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2),1-palmitoleoyl-2-oleoyl-glycerol (16:1/18:1),1-palmitoleoyl-3-oleoyl-glycerol (16:1/18:1),1-palmitoleoyl-GPC (16:1),1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4),1-palmitoyl-2-linoleoyl-glycerol (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1),1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1-palmitoyl-3-linoleoyl-glycerol (16:0/18:2),1-palmitoyl-GPC (16:0),1-palmitoyl-GPE (16:0),1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),1-stearoyl-2-linoleoyl-GPC (18:0/18:2),1-stearoyl-2-linoleoyl-GPE (18:0/18:2),1-stearoyl-2-oleoyl-GPC (18:0/18:1),1-stearoyl-2-oleoyl-GPE (18:0/18:1),1-stearoyl-GPC (18:0),1-stearoyl-GPE (18:0),2-aminooctanoate,2-palmitoyl-GPC (16:0),4-cholesten-3-one,alpha-tocopherol,arachidonoylcholine,arachidonoyl ethanolamide,behenoyl sphingomyelin (d18:1/22:0),bilirubin (E_Z or Z_E),campesterol,cholate,cholesterol,cis-4-decenoyl carnitine,decanoylcarnitine,delta-tocopherol,dihomo-linolenoyl-choline,docosahexaenoylcholine,eicosapentaenoylcholine,fexofenadine,gamma-tocopherol/beta-tocopherol,glycosyl-N-palmitoyl-sphingosine,glycosyl-N-stearoyl-sphingosine,heme,hexanoylcarnitine,lactosyl-N-palmitoyl-sphingosine,laurylcarnitine,linoleamide (18:2n6),linoleoylcarnitine,myristoleoylcarnitine,myristoylcarnitine,N-palmitoyl-sphinganine (d18:0/16:0),N-palmitoyl-sphingosine (d18:1/16:0),octanoylcarnitine,O-desmethylvenlafaxine,oleamide,oleoylcarnitine,oleoylcholine,oleoyl ethanolamide,palmitoleoylcarnitine,palmitoloelycholine,palmitoylcarnitine,palmitoylcholine,palmitoyl dihydrosphingomyelin (d18:0/16:0),palmitoyl sphingomyelin (d18:1/16:0),pantoprazole,paroxetine,piperine,quetiapine,retinal,retinol (Vitamin A),solanidine,spermidine,sphinganine,sphinganine-1-phosphate,sphingomyelin (d18:1/14:0_ d16:1/16:0),sphingomyelin (d18:1/15:0_ d16:1/17:0),sphingomyelin (d18:1/17:0_ d17:1/18:0_ d19:1/16:0),sphingomyelin (d18:1/18:1_ d18:2/18:0),sphingomyelin (d18:1/20:0_ d16:1/22:0),sphingomyelin (d18:1/20:1_ d18:2/20:0),sphingomyelin (d18:1/21:0_ d17:1/22:0_ d16:1/23:0),sphingomyelin (d18:1/22:1_ d18:2/22:0_ d16:1/24:1),sphingomyelin (d18:1/24:1_ d18:2/24:0),sphingomyelin (d18:2/14:0_ d18:1/14:1),sphingomyelin (d18:2/16:0_ d18:1/16:1),sphingomyelin (d18:2/23:0_ d18:1/23:1_ d17:1/24:1),sphingomyelin (d18:2/24:1_ d18:1/24:2),sphingosine,sphingosine 1-phosphate,stearamide,stearoylcarnitine,stearoyl sphingomyelin (d18:1/18:0),tricosanoyl sphingomyelin (d18:1/23:0),venlafaxine
121,Type:Control,2271240.0,78850496.0,19788780.0,117762912.0,3116080.0,56899952.0,3984507.0,6944471.0,38247572.0,28829974.0,3893392.0,40610168.0,9491443.0,3588439.0,118257128.0,166906368.0,76387336.0,2050457.0,6547769.0,229823744.0,17330108.0,596989.0,3590475.0,33362462.0,2443211.0,754596480.0,20477078.0,132865680.0,176004848.0,4979885.0,109681952.0,543957632.0,17802866.0,828527.0,102691008.0,751576.0,0.0,38352764.0,787462656.0,10279488.0,27819680.0,1337519104.0,10937388.0,1083729664.0,15216354.0,90899648.0,25409824.0,32344670.0,966520384.0,10557324.0,677205632.0,35855108.0,934346624.0,28252820.0,324407008.0,11484457.0,483748640.0,16880468.0,409186.0,99124680.0,4155677.0,217900736.0,2753110.0,234228.0,384532960.0,653366.0,0.0,0.0,281903648.0,20734528.0,21887898.0,852552.0,487145.0,507926.0,0.0,0.0,42506028.0,9917595.0,4712184.0,81234640.0,7308015.0,35844912.0,11564878.0,130672248.0,42399792.0,41721920.0,10683912.0,3662077.0,53634160.0,15138301.0,0.0,276033408.0,79108032.0,3947002.0,1856359.0,17947126.0,166862.0,39764928.0,5882372.0,88033104.0,589809920.0,0.0,0.0,176272912.0,0.0,1509442.0,61916608.0,0.0,13153821.0,445505.0,1005344.0,152839776.0,110530096.0,51848936.0,90671096.0,233434672.0,58793716.0,54473364.0,385485536.0,931359424.0,18149960.0,349543264.0,84794168.0,510021600.0,949071.0,6316033.0,33851844.0,11883946.0,247158608.0,110600632.0,0.0
144,Type:Control,2535671.0,66630000.0,20096964.0,72451064.0,1602289.0,32587644.0,2762171.0,3849105.0,28646522.0,19989846.0,3559445.0,43995972.0,4232143.0,2714521.0,111737400.0,122577592.0,64568100.0,2763463.0,183011.0,473343840.0,19918282.0,911544.0,7749600.0,89488640.0,3231329.0,826297856.0,17160354.0,240890016.0,164540336.0,9084641.0,230820576.0,553337152.0,13688053.0,2698347.0,162196928.0,29006264.0,16048760.0,70867448.0,1203502080.0,21639552.0,54233424.0,1523430784.0,22226820.0,1253588480.0,22978092.0,196856064.0,28537460.0,57777548.0,1114207616.0,15076840.0,1038704128.0,80468536.0,1124056832.0,65438840.0,431139104.0,13132667.0,657845696.0,24185552.0,321080.0,116777288.0,7174110.0,390133856.0,5973166.0,432556.0,712654592.0,3271095.0,106452.0,160424.0,547715264.0,92035768.0,155277376.0,404973.0,1258278.0,1031776.0,206816.0,0.0,27152892.0,6163944.0,2589314.0,35926392.0,30742736.0,40329324.0,41138424.0,211560160.0,45677200.0,64376748.0,15920919.0,5137981.0,56433060.0,110604400.0,0.0,411411616.0,89722064.0,4393513.0,1675541.0,22643790.0,404180.0,49051312.0,8006467.0,55202208.0,581181312.0,0.0,0.0,44060032.0,0.0,1425770.0,62223848.0,0.0,4762731.0,411177.0,1161871.0,201271184.0,149257632.0,68081848.0,90428472.0,420474528.0,56391452.0,165903824.0,532992608.0,1059703296.0,19695192.0,371802432.0,175996784.0,440030176.0,1216599.0,7153070.0,57906608.0,16956500.0,267549376.0,278988448.0,0.0
22,Type:Control,1792924.0,88156288.0,25041266.0,114544088.0,4949540.0,40297268.0,4073372.0,3721514.0,34046568.0,20190336.0,3092228.0,56198372.0,16112846.0,3922838.0,242642416.0,103553032.0,56652240.0,1980103.0,9005429.0,315174080.0,17586248.0,0.0,10483751.0,128071368.0,10184073.0,767789632.0,19579600.0,280407712.0,180089376.0,7606944.0,274644032.0,427747616.0,11202622.0,4095490.0,168512528.0,15800545.0,3217468.0,40730552.0,1039250752.0,15827617.0,60732716.0,1525285504.0,18355684.0,1049981568.0,15821349.0,95535648.0,31084248.0,78933640.0,954345728.0,10042722.0,853350656.0,64844552.0,1165330560.0,53894620.0,351061696.0,10470497.0,521012928.0,19032596.0,247743.0,81407592.0,3724706.0,340015136.0,1965886.0,192660.0,533870272.0,4521516.0,210992.0,0.0,278618272.0,34640016.0,36915936.0,569808.0,468827.0,454846.0,0.0,0.0,29301328.0,4649667.0,1034890.0,8987531.0,7486962.0,37422204.0,12131027.0,116865832.0,28384940.0,21488308.0,6992938.0,2922123.0,50134392.0,31022528.0,0.0,261177360.0,42768664.0,1581719.0,1149541.0,8077670.0,0.0,26803042.0,3492731.0,49035268.0,450367808.0,0.0,0.0,72420200.0,0.0,862468.0,33033102.0,0.0,954759.0,340660.0,755241.0,131100216.0,105528544.0,45427548.0,49222792.0,258420432.0,40236944.0,95692768.0,415955360.0,810052096.0,10369892.0,253320816.0,186602816.0,378155584.0,1060820.0,4372072.0,40412044.0,9174492.0,162466944.0,200539296.0,0.0
25,Type:Control,1935208.0,71483032.0,17611522.0,100088712.0,2037170.0,42687660.0,2710898.0,2681192.0,27344052.0,22522056.0,3236374.0,39762780.0,7044016.0,2631472.0,127523688.0,86692568.0,63630100.0,1640030.0,0.0,357267040.0,10031246.0,668744.0,6848742.0,79390800.0,2890020.0,784686336.0,9646249.0,146690912.0,152367904.0,0.0,137990368.0,454673408.0,4251775.0,804298.0,85733824.0,0.0,3242680.0,25578914.0,1053545024.0,8287105.0,41480456.0,1486748032.0,7379921.0,1051720512.0,4789878.0,56932380.0,27923830.0,39205444.0,974669568.0,6976900.0,892978240.0,32890780.0,1030698496.0,20229496.0,275016064.0,1885775.0,498043808.0,10554329.0,150100.0,93066448.0,3345369.0,383427104.0,5384227.0,162466.0,587193664.0,8235209.0,388644.0,0.0,279051936.0,58388268.0,89613504.0,0.0,1028840.0,1024741.0,158483.0,0.0,14530821.0,7035966.0,1672438.0,2389073.0,16245738.0,50189280.0,37836012.0,178312448.0,30640902.0,55208800.0,14069817.0,2593412.0,47972104.0,62207528.0,0.0,352252864.0,57212468.0,4396506.0,1095605.0,13325548.0,185090.0,37239816.0,9457152.0,55788932.0,589184192.0,0.0,0.0,18404976.0,0.0,945193.0,35039680.0,747739.0,1264469.0,309977.0,612026.0,172306160.0,126001664.0,66085452.0,71332576.0,303351936.0,54022736.0,110110048.0,437107680.0,1018687232.0,11160859.0,265638448.0,138456224.0,458072416.0,891959.0,4771201.0,43056328.0,12768441.0,259425600.0,242197552.0,0.0
27,Type:Control,1240488.0,48626296.0,11605240.0,70772512.0,1204072.0,29837076.0,1443086.0,2169694.0,20548340.0,22931766.0,2557994.0,31152514.0,6005363.0,2033457.0,133507704.0,116473656.0,48780080.0,3428114.0,0.0,378394144.0,15811444.0,1364212.0,23944082.0,110077176.0,10705811.0,872112512.0,19793394.0,298626592.0,152736992.0,7144945.0,315912608.0,629042752.0,8810847.0,5395770.0,129769880.0,18721302.0,13020083.0,85892984.0,1075438336.0,14936006.0,52919904.0,1451927296.0,16435170.0,1331837824.0,10031551.0,170707584.0,34186268.0,85492120.0,1191656832.0,11510915.0,931448128.0,48973608.0,1122756352.0,41678744.0,636514944.0,4454975.0,726612864.0,19790208.0,405448.0,92503912.0,3281663.0,279537536.0,4584733.0,166521.0,627534784.0,0.0,62145.0,242678.0,324296096.0,112814040.0,218334368.0,175192.0,1490831.0,887383.0,177614.0,0.0,13654303.0,8921568.0,2590113.0,202360800.0,26175308.0,40045128.0,87161216.0,175355712.0,39584308.0,102930248.0,19080320.0,5294264.0,59549696.0,147358912.0,0.0,377170528.0,70060880.0,5067943.0,1018848.0,17931198.0,402610.0,44476464.0,8737740.0,59685684.0,562770752.0,0.0,0.0,5949300.0,0.0,1052338.0,40601036.0,0.0,9516650.0,451674.0,888693.0,146982496.0,91225160.0,45239580.0,57118860.0,299095392.0,39789272.0,92433960.0,354269184.0,876454848.0,10037334.0,220876544.0,137630112.0,312582688.0,852340.0,5450719.0,57212264.0,19613822.0,208590400.0,203239968.0,0.0
4,Type:Control,3089107.0,63285976.0,20270182.0,76960144.0,1674865.0,42073096.0,3656067.0,3278780.0,27141252.0,29136922.0,4160978.0,38531024.0,5958494.0,2870183.0,190736464.0,153661808.0,84437136.0,4444420.0,663563.0,611609344.0,27249202.0,4613992.0,21904768.0,219552912.0,14473460.0,1040362688.0,21965372.0,475436960.0,243252256.0,6845667.0,494355776.0,773863040.0,13656280.0,6117478.0,171425648.0,0.0,26259384.0,79663664.0,1672718976.0,18138292.0,111118216.0,1828328960.0,14288612.0,1610519168.0,10300372.0,127672704.0,55038488.0,100410616.0,1716311424.0,19891800.0,1306714240.0,81255464.0,1280659072.0,51824616.0,560417344.0,5904073.0,902338176.0,30410768.0,235827.0,216648576.0,6332252.0,580881344.0,12415936.0,162223.0,769677824.0,19137728.0,215569.0,187898.0,628077504.0,119597928.0,165254144.0,0.0,2569768.0,4302471.0,779071.0,0.0,23168988.0,4660746.0,721960.0,6952805.0,20419236.0,42807584.0,54057692.0,243972000.0,55325520.0,97485112.0,14517018.0,3077013.0,72049136.0,127052288.0,0.0,436076992.0,96124120.0,9502970.0,2170976.0,23824998.0,546666.0,44468000.0,18968026.0,68669872.0,564548992.0,0.0,0.0,241931840.0,0.0,2080147.0,95763968.0,0.0,2091381.0,442371.0,1028363.0,103945520.0,75257856.0,34896624.0,41119112.0,337314688.0,48024132.0,103242056.0,481799616.0,1272164224.0,10987231.0,272460512.0,199950704.0,420361312.0,1115511.0,6245210.0,51442112.0,15683544.0,143337440.0,278999104.0,0.0
43,Type:Control,2500672.0,75488736.0,19288252.0,79266040.0,2492762.0,28395492.0,2282910.0,2466914.0,28752832.0,33154448.0,4888502.0,52325732.0,10493596.0,2764605.0,163976304.0,77490696.0,53351252.0,3152053.0,248306.0,347096928.0,13458730.0,1087461.0,11385923.0,89617776.0,6427358.0,1014667776.0,18850160.0,307221920.0,158052416.0,3899991.0,308504128.0,539394368.0,7594112.0,2130864.0,105202432.0,0.0,9135250.0,44473232.0,1014867456.0,8627091.0,89469360.0,1661634176.0,12262450.0,1158915968.0,6463303.0,70576328.0,34690596.0,83710544.0,1341390464.0,11700272.0,874785408.0,36223468.0,1206001280.0,37187144.0,366454752.0,3290086.0,749734976.0,17991576.0,485115.0,133329264.0,4685903.0,487565216.0,8020375.0,212360.0,685899456.0,9951164.0,95526.0,198325.0,482175488.0,55939880.0,60138108.0,159948.0,3779459.0,3887262.0,373354.0,0.0,20602440.0,4783976.0,1090163.0,5133086.0,14651551.0,36192644.0,23096212.0,97296520.0,36416940.0,40193272.0,9698514.0,3851293.0,62169260.0,50540600.0,0.0,221060640.0,52987048.0,8260406.0,1162646.0,9490995.0,448562.0,38339944.0,17874424.0,75510600.0,628126144.0,0.0,0.0,50177844.0,0.0,1931878.0,81894592.0,0.0,3676189.0,697533.0,1151519.0,200820000.0,142852432.0,72379744.0,74767440.0,372513600.0,53383512.0,146638528.0,445108224.0,1076497664.0,12969233.0,317650080.0,137804816.0,440616576.0,1351766.0,6266427.0,37416720.0,15332843.0,263111232.0,295528992.0,0.0
49,Type:Control,4429036.0,86833872.0,40413864.0,129560752.0,3697616.0,51451724.0,5881615.0,4446400.0,36211984.0,41758332.0,8064163.0,69166608.0,9698623.0,5174473.0,173254336.0,160025040.0,62506524.0,1547543.0,4790911.0,594562368.0,27414992.0,0.0,13543319.0,140291520.0,9250651.0,1088221696.0,24313826.0,280452288.0,166455232.0,13404382.0,262672240.0,701987520.0,23520592.0,6367758.0,243482816.0,34273284.0,11939537.0,114007304.0,1480425216.0,36223752.0,68835640.0,1959004800.0,41504272.0,1615645696.0,45386264.0,258988976.0,28184416.0,93067832.0,1458195328.0,28518608.0,890803328.0,111469984.0,999383680.0,85671592.0,462964640.0,25396176.0,581598912.0,37334048.0,260795.0,167802160.0,3397504.0,373116448.0,9740222.0,349813.0,653834752.0,4442851.0,196488.0,410504.0,458900192.0,45535068.0,38394400.0,328909.0,3137126.0,3519114.0,595703.0,0.0,16058575.0,4589901.0,1573390.0,742158.0,9502090.0,35998064.0,12004262.0,99324112.0,25633476.0,26471056.0,8681312.0,4638606.0,54663332.0,32655072.0,0.0,217609536.0,39013528.0,9054604.0,1900506.0,11440706.0,1009885.0,27444064.0,19420962.0,70276656.0,428638976.0,0.0,0.0,53690340.0,0.0,1766508.0,70272904.0,765651.0,913650.0,381538.0,674183.0,188320192.0,121012304.0,46680944.0,42319688.0,363962784.0,39324452.0,169323440.0,433345408.0,1153258496.0,16626259.0,237541712.0,169632240.0,432278304.0,1007114.0,5157447.0,30468678.0,7915907.0,207193584.0,381390880.0,0.0
50,Type:Control,2627265.0,67919080.0,19900276.0,94153856.0,2515669.0,39372280.0,4716968.0,2716209.0,26695334.0,21672878.0,3981776.0,52242484.0,14319018.0,4393468.0,219394576.0,142344384.0,66943552.0,2650041.0,23809720.0,449601856.0,34817292.0,1690849.0,9130783.0,133257440.0,5814706.0,1045012352.0,34265752.0,269154944.0,220132592.0,10943444.0,247770672.0,683547008.0,27460416.0,2295798.0,151130192.0,0.0,6874018.0,45510096.0,1350248576.0,21350500.0,113019568.0,2001461632.0,23129148.0,1406768640.0,31661276.0,87993000.0,32633996.0,106431360.0,1253417216.0,12985827.0,1081653888.0,97568280.0,1211551616.0,67664680.0,520372576.0,27176728.0,574240832.0,25920624.0,308421.0,122479032.0,3500074.0,386721824.0,5685711.0,213551.0,715367296.0,11650401.0,461101.0,62403.0,315102272.0,42548504.0,31754212.0,935463.0,1055058.0,951508.0,0.0,0.0,34368460.0,8068466.0,2229317.0,8614718.0,15699351.0,46976116.0,28715756.0,288342176.0,54153280.0,80963544.0,19284718.0,6132379.0,90099160.0,32370598.0,0.0,421985408.0,81856432.0,4370021.0,2324218.0,21082504.0,156771.0,45100184.0,8601518.0,65892192.0,557641792.0,0.0,0.0,84210216.0,0.0,1251022.0,46459168.0,4442689.0,1173591.0,450068.0,629648.0,154644512.0,125643816.0,58681560.0,61697008.0,334531264.0,51927464.0,134923312.0,502203072.0,968799808.0,10922254.0,310331232.0,204084432.0,373661248.0,1038831.0,4984276.0,75704264.0,18594232.0,212730432.0,223788592.0,0.0
51,Type:Control,2639445.0,89929168.0,24060052.0,133189616.0,4046099.0,40227404.0,3287027.0,3776030.0,36187244.0,41397936.0,4471108.0,59967388.0,17244728.0,4084428.0,169203408.0,113795224.0,63925968.0,2907081.0,361746.0,386848992.0,30385302.0,1246668.0,11603878.0,87095600.0,5520038.0,1075912704.0,38751832.0,339889952.0,171099584.0,8075403.0,340416288.0,613313088.0,16448202.0,2504035.0,120810848.0,0.0,16770677.0,49223288.0,1139148928.0,16546909.0,95350712.0,1820259840.0,19245650.0,1202355968.0,9684521.0,87914712.0,35756260.0,86635536.0,1354805888.0,14129005.0,932345600.0,53810680.0,1262544256.0,50284824.0,369620096.0,5267022.0,713325888.0,21538420.0,489813.0,143291216.0,3785014.0,467324768.0,8835687.0,190419.0,604500416.0,4475315.0,320003.0,266096.0,348571808.0,62258924.0,82658072.0,110832.0,2154470.0,1954896.0,221424.0,0.0,19310580.0,9214514.0,2100882.0,64442420.0,18215664.0,48007528.0,38919580.0,205086928.0,44018476.0,60804220.0,15753197.0,2966466.0,68946416.0,53133384.0,0.0,374154528.0,79021128.0,9112278.0,1178557.0,18316512.0,438047.0,47177592.0,18503340.0,52864144.0,494739392.0,0.0,0.0,53663952.0,0.0,1808111.0,81353216.0,0.0,4536629.0,338573.0,695683.0,126665808.0,89706520.0,42960532.0,57702272.0,254510176.0,45049672.0,68859384.0,413080352.0,893715904.0,7860405.0,289697600.0,136791184.0,380964800.0,954417.0,5396813.0,45729624.0,22367532.0,185446272.0,166353568.0,0.0
52,Type:Control,3233185.0,82987632.0,15818908.0,143190976.0,1964676.0,62492080.0,2392143.0,6339107.0,51528372.0,50707840.0,4902083.0,28368388.0,5370208.0,1837209.0,209598352.0,118884136.0,87126592.0,2248791.0,690967.0,372582336.0,18058072.0,1603346.0,10513314.0,111267064.0,9725043.0,1189844224.0,24654088.0,364612960.0,232335008.0,6752656.0,365104576.0,689622720.0,10522352.0,4895103.0,209973840.0,0.0,26739944.0,90765488.0,1188857600.0,13283218.0,99174264.0,2148276480.0,16750975.0,1450112000.0,7546014.0,128383600.0,37207612.0,86276600.0,1577060224.0,18449896.0,823979136.0,54313048.0,1160797440.0,50841316.0,333389984.0,5090824.0,612301120.0,25543830.0,243243.0,202021584.0,5381662.0,558882816.0,7339740.0,219918.0,608243584.0,9962008.0,0.0,86445.0,402406656.0,68229064.0,60748336.0,184939.0,961122.0,3294940.0,373252.0,0.0,16025500.0,7203336.0,3683104.0,10220912.0,19683988.0,50223716.0,16867516.0,135799232.0,47778260.0,33610048.0,8835767.0,4012881.0,72647416.0,51338592.0,0.0,241850912.0,75229672.0,8864657.0,2459535.0,16143224.0,689212.0,35112832.0,20474126.0,70448408.0,600766848.0,0.0,0.0,2928747.0,0.0,2597397.0,108193776.0,48972.0,1830391.0,358330.0,748840.0,154701104.0,133484592.0,54776448.0,68993600.0,386413152.0,56637184.0,87713808.0,497092640.0,1269896960.0,9464806.0,331673920.0,113635216.0,566056448.0,749284.0,5609307.0,42252224.0,11679120.0,269390176.0,146430048.0,0.0
54,Type:Control,2986666.0,75477272.0,22389548.0,99074720.0,2644924.0,36115264.0,3244885.0,3381408.0,30595110.0,28372372.0,4346363.0,63073432.0,11877052.0,3557268.0,156129248.0,80658120.0,76369872.0,4057115.0,0.0,625339776.0,23723344.0,1277986.0,15527871.0,189544944.0,6429102.0,980799040.0,20230110.0,334100448.0,130200304.0,0.0,346564288.0,619982272.0,8392088.0,4187960.0,154079696.0,0.0,33507860.0,77552200.0,1666236800.0,13135165.0,131311944.0,1901598592.0,11309313.0,1527786112.0,8729446.0,159201936.0,40990568.0,121457440.0,1448477184.0,14227426.0,1427907456.0,68213320.0,1435917312.0,45085472.0,640142592.0,4295315.0,851249920.0,23731118.0,271305.0,194143840.0,8168420.0,621847680.0,10961628.0,288453.0,893497024.0,10515035.0,286740.0,334183.0,540256384.0,66839168.0,83050720.0,136170.0,2345462.0,3527690.0,913417.0,0.0,19834638.0,4838140.0,1378640.0,12517788.0,22265296.0,30932218.0,39279300.0,90104208.0,40720060.0,77368384.0,20210554.0,6679343.0,76945936.0,63784132.0,0.0,198432336.0,73683528.0,6598845.0,1625459.0,20937900.0,603764.0,49782748.0,14416208.0,51774016.0,545452288.0,0.0,0.0,25630894.0,0.0,2063980.0,65917648.0,108340.0,2136351.0,503432.0,844116.0,199415376.0,145147248.0,63005288.0,80841536.0,420909632.0,46824456.0,207446224.0,536677440.0,1075555200.0,18016112.0,305999040.0,262464288.0,347799360.0,1495539.0,5560137.0,32094848.0,17963198.0,232678528.0,345462496.0,0.0
